ProcessId,Timestamp,RecordNumber,ProcessName,EventID,Url,PackageFullName,Reason
,2026-04-01 19:16:19.893442+00:00,1,,6011,,,
,2026-04-01 19:16:19.893585+00:00,2,,6009,,,
,2026-04-01 19:16:19.893616+00:00,3,,6005,,,
,2026-04-01 19:15:47.560154+00:00,4,,12,,,
,2026-04-01 19:15:47.560156+00:00,5,,25,,,
,2026-04-01 19:15:47.560318+00:00,6,,153,,,
,2026-04-01 19:15:47.560665+00:00,7,,20,,,
,2026-04-01 19:15:47.560667+00:00,8,,247,,,
,2026-04-01 19:15:47.560669+00:00,9,,238,,,
,2026-04-01 19:15:47.560669+00:00,10,,25,,,
,2026-04-01 19:15:47.560671+00:00,11,,27,,,
,2026-04-01 19:15:47.560732+00:00,12,,18,,,
,2026-04-01 19:15:47.560745+00:00,13,,32,,,
,2026-04-01 19:15:47.565620+00:00,14,,20,,,
,2026-04-01 19:15:47.597548+00:00,15,,16,,,
,2026-04-01 19:15:51.646498+00:00,16,,6,,,
,2026-04-01 19:15:51.647047+00:00,17,,6,,,
,2026-04-01 19:15:51.647890+00:00,18,,6,,,
,2026-04-01 19:15:51.875080+00:00,19,,98,,,
,2026-04-01 19:15:51.922230+00:00,20,,6,,,
,2026-04-01 19:15:52.083143+00:00,21,,6,,,
,2026-04-01 19:15:52.202080+00:00,22,,55,,,
,2026-04-01 19:15:52.323450+00:00,23,,172,,,6.0
,2026-04-01 19:15:52.329630+00:00,24,,16,,,
,2026-04-01 19:15:52.330120+00:00,25,,16,,,
,2026-04-01 19:15:52.330137+00:00,26,,16,,,
,2026-04-01 19:15:53.211437+00:00,27,,16,,,
,2026-04-01 19:15:53.215034+00:00,28,,16,,,
,2026-04-01 19:15:53.216507+00:00,29,,16,,,
,2026-04-01 19:15:53.251270+00:00,30,,16,,,
,2026-04-01 19:15:53.277632+00:00,31,,24,,,
,2026-04-01 19:15:53.307299+00:00,32,,16,,,
,2026-04-01 19:15:53.487734+00:00,33,,16,,,
,2026-04-01 19:15:57.507149+00:00,34,,16,,,
,2026-04-01 19:15:57.744967+00:00,35,,19,,,
,2026-04-01 19:15:57.744984+00:00,36,,25,,,
,2026-04-01 19:15:57.745586+00:00,37,,23,,,
,2026-04-01 19:15:57.875971+00:00,38,,14,,,
,2026-04-01 19:15:57.884758+00:00,39,,12,,,
,2026-04-01 19:15:57.946388+00:00,40,,6156,,,
,2026-04-01 19:15:58.181870+00:00,41,,16962,,,
,2026-04-01 19:15:58.195696+00:00,42,,16977,,,
,2026-04-01 19:15:58.195698+00:00,43,,16983,,,
,2026-04-01 19:16:16.668665+00:00,44,,98,,,
,2026-04-01 19:16:17.956383+00:00,45,,16,,,
,2026-04-01 19:16:18.105171+00:00,46,,2005,,,
,2026-04-01 19:16:18.552238+00:00,47,,16,,,
,2026-04-01 19:16:18.772192+00:00,48,,16977,,,
,2026-04-01 19:16:19.226418+00:00,49,,16,,,
,2026-04-01 19:16:19.456142+00:00,50,,6,,,
,2026-04-01 19:16:19.532640+00:00,51,,7023,,,
,2026-04-01 19:16:19.595905+00:00,52,,6,,,
,2026-04-01 19:16:19.611246+00:00,53,,6,,,
,2026-04-01 19:16:19.624056+00:00,54,,6,,,
,2026-04-01 19:16:19.640377+00:00,55,,6,,,
,2026-04-01 19:16:19.640383+00:00,56,,1,,,
,2026-04-01 19:16:19.640455+00:00,57,,6,,,
,2026-04-01 19:16:19.647207+00:00,58,,6,,,
,2026-04-01 19:16:19.656233+00:00,59,,6,,,
,2026-04-01 19:16:19.661772+00:00,60,,6,,,
,2026-04-01 19:16:19.672192+00:00,61,,6,,,
,2026-04-01 19:16:20.834202+00:00,62,,50036,,,
,2026-04-01 19:16:20.834414+00:00,63,,50103,,,
,2026-04-01 19:16:20.834700+00:00,64,,50036,,,
,2026-04-01 19:16:20.868479+00:00,65,,51046,,,
4.0,2026-04-01 19:16:21.473598+00:00,66,,112,http://*:5357/,,
4.0,2026-04-01 19:16:21.473606+00:00,67,,112,http://+:80/Temporary_Listen_Addresses/,,
4.0,2026-04-01 19:16:21.473610+00:00,68,,112,https://*:5358/,,
4.0,2026-04-01 19:16:21.473616+00:00,69,,112,http://*:2869/,,
4.0,2026-04-01 19:16:21.473619+00:00,70,,112,https://+:5986/wsman/,,
4.0,2026-04-01 19:16:21.473627+00:00,71,,112,http://+:47001/wsman/,,
4.0,2026-04-01 19:16:21.473629+00:00,72,,112,http://+:5985/wsman/,,
4.0,2026-04-01 19:16:21.473635+00:00,73,,112,https://+:3392/rdp/,,
4.0,2026-04-01 19:16:21.473640+00:00,74,,112,https://+:443/sra_{BA195980-CD49-458b-9E23-C84EE0ADCD75}/,,
4.0,2026-04-01 19:16:21.473646+00:00,75,,112,http://+:10247/apps/,,
4.0,2026-04-01 19:16:21.473650+00:00,76,,112,https://+:10245/WMPNSSv4/,,
4.0,2026-04-01 19:16:21.473656+00:00,77,,112,http://+:10243/WMPNSSv4/,,
4.0,2026-04-01 19:16:21.473660+00:00,78,,112,http://+:10246/MDEServer/,,
,2026-04-01 19:16:23.920040+00:00,79,,7045,,,
,2026-04-01 19:16:38.722795+00:00,80,,3261,,,
,2026-04-01 19:16:38.547037+00:00,81,,7026,,,
,2026-04-01 19:16:38.554214+00:00,82,,18,,,
,2026-04-01 19:16:38.776766+00:00,83,,7045,,,
,2026-04-01 19:16:38.946890+00:00,84,,7045,,,
,2026-04-01 19:16:39.314856+00:00,85,,32,,,
,2026-04-01 19:16:40.494482+00:00,86,,16,,,
,2026-04-01 19:16:40.719103+00:00,87,,16,,,
,2026-04-01 19:16:41.002285+00:00,88,,16,,,
,2026-04-01 19:16:41.176296+00:00,89,,16,,,
,2026-04-01 19:16:41.468649+00:00,90,,16,,,
,2026-04-01 19:16:41.739332+00:00,91,,16,,,
,2026-04-01 19:16:41.948593+00:00,92,,16,,,
,2026-04-01 19:16:42.166075+00:00,93,,16,,,
,2026-04-01 19:16:42.345383+00:00,94,,16,,,
,2026-04-01 19:16:42.534527+00:00,95,,16,,,
,2026-04-01 19:16:42.819132+00:00,96,,16,,,
,2026-04-01 19:16:43.219250+00:00,97,,16,,,
,2026-04-01 19:16:43.413593+00:00,98,,16,,,
,2026-04-01 19:16:43.601353+00:00,99,,16,,,
,2026-04-01 19:16:43.766432+00:00,100,,16,,,
,2026-04-01 19:16:43.974642+00:00,101,,16,,,
,2026-04-01 19:16:44.184744+00:00,102,,16,,,
,2026-04-01 19:16:44.456800+00:00,103,,16,,,
,2026-04-01 19:16:44.660263+00:00,104,,16,,,
,2026-04-01 19:16:44.900818+00:00,105,,16,,,
,2026-04-01 19:16:45.106087+00:00,106,,16,,,
