RemoteEventLogging,ResourceManager,TargetOutboundDomainName,CallerProcessName,VsmLaunchType,FlightSigning,AuthenticationPackageName,ForceLogoff,IpAddress,ProcessId,SchemaFriendlyName,TargetLinkedLogonId,KernelDebug,NewSd,AccessMask,MinPasswordLength,KeyFilePath,TargetUserSid,SubjectUserName,TargetUserName,HomeDirectory,TransactionId,LogonGuid,KeyName,TargetDomainName,Service,FileName,TargetServerName,KeyLength,HandleId,Workstation,LmPackageName,CommandLine,ClientCreationTime,LockoutThreshold,CategoryId,ReturnCode,MachineAccountQuota,OldUacValue,TargetLogonId,CallerProcessId,AllowedToDelegateTo,PasswordHistoryLength,KeyType,ConfigAccessPolicy,Type,ProviderName,UserAccountControl,UserWorkstations,Timestamp,PuaPolicyId,RestrictedAdminMode,LogonType,NewTime,PasswordProperties,PasswordLastSet,NewTargetUserName,TargetInfo,HypervisorLoadOptions,AccessRemoved,TargetOutboundUserName,ClientProcessStartKey,AlgorithmName,HypervisorLaunchType,AccessGranted,LockoutDuration,Flags,ElevatedToken,ImpersonationLevel,IpPort,RecordNumber,AccessList,PuaCount,ObjectType,ProcessName,DomainName,MaxPasswordAge,TargetName,SubjectLogonId,OldSd,SubcategoryGuid,SubjectDomainName,TargetProcessId,CountOfCredentialsReturned,Dummy,ObjectName,UserPrincipalName,MixedDomainMode,NewState,DisplayName,PrimaryGroupId,SubjectUserSid,Identity,AdvancedOptions,RemoteCredentialGuard,DomainSid,NewProcessName,OldTargetUserName,LinkName,PreviousTime,Schema,ProcessCreationTime,SidHistory,LoadOptions,AccountExpires,TestSigning,DomainPolicyChanged,EventID,UserParameters,OemInformation,DomainBehaviorVersion,ScriptPath,MandatoryLabel,ProfilePath,NewProcessId,MinPasswordAge,HomePath,PackageSid,ResourceAttributes,TokenElevationType,TargetSid,LogonHours,Resource,ClientProcessId,SubcategoryId,TargetProcessName,SamAccountName,MemberSid,PrivilegeList,LogonProcessName,TransmittedServices,NewUacValue,ObjectServer,ReadOperation,LockoutObservationWindow,ParentProcessName,WorkstationName,Operation,AuditPolicyChanges,MemberName,TargetLogonGuid,DisableIntegrityChecks,HypervisorDebug,VirtualAccount
,,,,,,,,,0x0000000000000004,,,,,,,,S-1-0-0,-,-,,,,,-,,,,,,,,,,,,,,,0x0000000000000000,,,,,,,,,,2026-04-01 19:15:52.325634+00:00,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0x00000000000003e7,,,-,,,,,,,,,,S-1-5-18,,,,,Registry,,,,,,,,,,,4688,,,,,S-1-16-16384,,0x000000000000004c,,,,,%%1936,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0x0000000000000004,,,,,,,,S-1-0-0,-,-,,,,,-,,,,,,,,,,,,,,,0x00000000000003e7,,,,,,,,,,2026-04-01 19:15:52.325876+00:00,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,0x00000000000003e7,,,-,0x000000000000004c,,,,,,,,,S-1-5-18,,,,,,,,,,,,,,,,4696,,,,,,,,,,,,,,,,,,Registry,,,,,,,,,,,,,,,,,,
%%1843,,,,%%1848,%%1843,,,,,,,%%1843,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,%%1846,,,,,2026-04-01 19:15:52.325880+00:00,,,,,,,,,-,,,,,%%1848,,,,,,,3,,,,,,,,0x00000000000003e7,,,-,,,,,,,,,,S-1-5-18,,%%1843,,,,,,,,,,-,,%%1843,,4826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%%1843,%%1843,
,,,,,,,,,0x0000000000000004,,,,,,,,S-1-0-0,-,-,,,,,-,,,,,,,,,,,,,,,0x0000000000000000,,,,,,,,,,2026-04-01 19:15:52.327856+00:00,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,0x00000000000003e7,,,-,,,,,,,,,,S-1-5-18,,,,,C:\Windows\System32\smss.exe,,,,,,,,,,,4688,,,,,S-1-16-16384,,0x0000000000000190,,,,,%%1936,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0x0000000000000190,,,,,,,,S-1-0-0,-,-,,,,,-,,,,,,,,,,,,,,,0x0000000000000000,,,,,,,,,,2026-04-01 19:15:53.161638+00:00,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,0x00000000000003e7,,,-,,,,,,,,,,S-1-5-18,,,,,C:\Windows\System32\autochk.exe,,,,,,,,,,,4688,,,,,S-1-16-16384,,0x00000000000001a0,,,,,%%1936,,,,,,,,,,,,,,,,C:\Windows\System32\smss.exe,,,,,,,,
,,,,,,,,,0x0000000000000190,,,,,,,,S-1-0-0,-,-,,,,,-,,,,,,,,,,,,,,,0x0000000000000000,,,,,,,,,,2026-04-01 19:15:53.666651+00:00,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,0x00000000000003e7,,,-,,,,,,,,,,S-1-5-18,,,,,C:\Windows\System32\setupcl.exe,,,,,,,,,,,4688,,,,,S-1-16-16384,,0x00000000000001f8,,,,,%%1936,,,,,,,,,,,,,,,,C:\Windows\System32\smss.exe,,,,,,,,
,,,,,,,,,0x0000000000000190,,,,,,,,S-1-0-0,-,-,,,,,-,,,,,,,,,,,,,,,0x0000000000000000,,,,,,,,,,2026-04-01 19:15:57.540720+00:00,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,0x00000000000003e7,,,-,,,,,,,,,,S-1-5-18,,,,,C:\Windows\System32\smss.exe,,,,,,,,,,,4688,,,,,S-1-16-16384,,0x0000000000000218,,,,,%%1936,,,,,,,,,,,,,,,,C:\Windows\System32\smss.exe,,,,,,,,
,,,,,,,,,0x0000000000000218,,,,,,,,S-1-0-0,-,-,,,,,-,,,,,,,,,,,,,,,0x0000000000000000,,,,,,,,,,2026-04-01 19:15:57.632614+00:00,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,0x00000000000003e7,,,-,,,,,,,,,,S-1-5-18,,,,,C:\Windows\System32\csrss.exe,,,,,,,,,,,4688,,,,,S-1-16-16384,,0x0000000000000220,,,,,%%1936,,,,,,,,,,,,,,,,C:\Windows\System32\smss.exe,,,,,,,,
,,,,,,,,,0x0000000000000190,,,,,,,,S-1-0-0,-,-,,,,,-,,,,,,,,,,,,,,,0x0000000000000000,,,,,,,,,,2026-04-01 19:15:57.690784+00:00,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,0x00000000000003e7,,,-,,,,,,,,,,S-1-5-18,,,,,C:\Windows\System32\smss.exe,,,,,,,,,,,4688,,,,,S-1-16-16384,,0x0000000000000258,,,,,%%1936,,,,,,,,,,,,,,,,C:\Windows\System32\smss.exe,,,,,,,,
,,,,,,,,,0x0000000000000218,,,,,,,,S-1-0-0,-,-,,,,,-,,,,,,,,,,,,,,,0x0000000000000000,,,,,,,,,,2026-04-01 19:15:57.694523+00:00,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,0x00000000000003e7,,,-,,,,,,,,,,S-1-5-18,,,,,C:\Windows\System32\wininit.exe,,,,,,,,,,,4688,,,,,S-1-16-16384,,0x0000000000000260,,,,,%%1936,,,,,,,,,,,,,,,,C:\Windows\System32\smss.exe,,,,,,,,
