CallerProcessName,AuthenticationPackageName,ForceLogoff,IpAddress,ProcessId,SubjectUserName,TargetUserName,CommandLine,Timestamp,RecordNumber,ProcessName,ProcessCreationTime,EventID,LockoutObservationWindow,ParentProcessName,WorkstationName,Operation,MemberName,TargetLogonGuid
,,,,0x0000000000000004,-,-,,2026-04-01 19:15:52.325634+00:00,1,,,4688,,,,,,
,,,,0x0000000000000004,-,-,,2026-04-01 19:15:52.325876+00:00,2,,,4696,,,,,,
,,,,,-,,,2026-04-01 19:15:52.325880+00:00,3,,,4826,,,,,,
,,,,0x0000000000000004,-,-,,2026-04-01 19:15:52.327856+00:00,4,,,4688,,,,,,
,,,,0x0000000000000190,-,-,,2026-04-01 19:15:53.161638+00:00,5,,,4688,,C:\Windows\System32\smss.exe,,,,
,,,,0x0000000000000190,-,-,,2026-04-01 19:15:53.666651+00:00,6,,,4688,,C:\Windows\System32\smss.exe,,,,
,,,,0x0000000000000190,-,-,,2026-04-01 19:15:57.540720+00:00,7,,,4688,,C:\Windows\System32\smss.exe,,,,
,,,,0x0000000000000218,-,-,,2026-04-01 19:15:57.632614+00:00,8,,,4688,,C:\Windows\System32\smss.exe,,,,
,,,,0x0000000000000190,-,-,,2026-04-01 19:15:57.690784+00:00,9,,,4688,,C:\Windows\System32\smss.exe,,,,
,,,,0x0000000000000218,-,-,,2026-04-01 19:15:57.694523+00:00,10,,,4688,,C:\Windows\System32\smss.exe,,,,
,,,,0x0000000000000258,-,-,,2026-04-01 19:15:57.696304+00:00,11,,,4688,,C:\Windows\System32\smss.exe,,,,
,,,,0x0000000000000258,-,-,,2026-04-01 19:15:57.724939+00:00,12,,,4688,,C:\Windows\System32\smss.exe,,,,
,,,,0x0000000000000260,-,-,,2026-04-01 19:15:57.819704+00:00,13,,,4688,,C:\Windows\System32\wininit.exe,,,,
,,,,0x0000000000000260,-,-,,2026-04-01 19:15:57.888369+00:00,14,,,4688,,C:\Windows\System32\wininit.exe,,,,
,,,,0x00000000000002e4,,,,2026-04-01 19:15:57.961256+00:00,15,C:\Windows\System32\lsass.exe,,6417,,,,,,
,,,,,,,,2026-04-01 19:15:57.968834+00:00,16,,,4608,,,,,,
,-,,-,0x0000000000000004,-,SYSTEM,,2026-04-01 19:15:57.975025+00:00,17,,,4624,,,-,,,
,,,,,,,,2026-04-01 19:15:58.151655+00:00,18,,,4902,,,,,,
,,,,,MINWINPC$,,,2026-04-01 19:15:58.180679+00:00,19,,,4717,,,,,,
,,,,,MINWINPC$,Performance Monitor Users,,2026-04-01 19:15:58.195372+00:00,20,,,4731,,,,,,
,,,,,MINWINPC$,Performance Monitor Users,,2026-04-01 19:15:58.195400+00:00,21,,,4735,,,,,,
,,,,,MINWINPC$,Performance Log Users,,2026-04-01 19:15:58.195526+00:00,22,,,4731,,,,,,
,,,,,MINWINPC$,Performance Log Users,,2026-04-01 19:15:58.195549+00:00,23,,,4735,,,,,,
,,,,,MINWINPC$,Distributed COM Users,,2026-04-01 19:15:58.196070+00:00,24,,,4731,,,,,,
,,,,,MINWINPC$,Distributed COM Users,,2026-04-01 19:15:58.196093+00:00,25,,,4735,,,,,,
,,,,,MINWINPC$,IIS_IUSRS,,2026-04-01 19:15:58.196224+00:00,26,,,4731,,,,,,
,,,,,MINWINPC$,IIS_IUSRS,,2026-04-01 19:15:58.196245+00:00,27,,,4735,,,,,,
,,,,,MINWINPC$,IIS_IUSRS,,2026-04-01 19:15:58.196278+00:00,28,,,4732,,,,,-,
,,,,,MINWINPC$,Event Log Readers,,2026-04-01 19:15:58.196507+00:00,29,,,4731,,,,,,
,,,,,MINWINPC$,Event Log Readers,,2026-04-01 19:15:58.196527+00:00,30,,,4735,,,,,,
,,,,,MINWINPC$,Remote Management Users,,2026-04-01 19:15:58.196951+00:00,31,,,4731,,,,,,
,,,,,MINWINPC$,Remote Management Users,,2026-04-01 19:15:58.196974+00:00,32,,,4735,,,,,,
,,,,,MINWINPC$,,,2026-04-01 19:15:58.197277+00:00,33,,,4728,,,,,-,
,,,,,MINWINPC$,WDAGUtilityAccount,,2026-04-01 19:15:58.197731+00:00,34,,,4720,,,,,,
,,,,,MINWINPC$,WDAGUtilityAccount,,2026-04-01 19:15:58.197878+00:00,35,,,4738,,,,,,
,,,,,MINWINPC$,WDAGUtilityAccount,,2026-04-01 19:15:58.239479+00:00,36,,,4738,,,,,,
,,,,,MINWINPC$,WDAGUtilityAccount,,2026-04-01 19:15:58.239567+00:00,37,,,4738,,,,,,
,,,,,MINWINPC$,OpenSSH Users,,2026-04-01 19:15:58.239906+00:00,38,,,4731,,,,,,
,,,,,MINWINPC$,OpenSSH Users,,2026-04-01 19:15:58.239931+00:00,39,,,4735,,,,,,
,,,,,MINWINPC$,Hyper-V Administrators,,2026-04-01 19:15:58.241457+00:00,40,,,4731,,,,,,
,,,,,MINWINPC$,Hyper-V Administrators,,2026-04-01 19:15:58.241556+00:00,41,,,4735,,,,,,
,,,-,0x0000000000000298,MINWINPC$,UMFD-1,,2026-04-01 19:15:58.297096+00:00,42,C:\Windows\System32\winlogon.exe,,4648,,,,,,{00000000-0000-0000-0000-000000000000}
,Negotiate,,-,0x0000000000000298,MINWINPC$,UMFD-1,,2026-04-01 19:15:58.297108+00:00,43,C:\Windows\System32\winlogon.exe,,4624,,,-,,,
,Negotiate,,-,0x00000000000002dc,MINWINPC$,SYSTEM,,2026-04-01 19:15:58.297251+00:00,44,C:\Windows\System32\services.exe,,4624,,,-,,,
,,,,,SYSTEM,,,2026-04-01 19:15:58.297255+00:00,45,,,4672,,,,,,
,,,-,0x0000000000000260,MINWINPC$,UMFD-0,,2026-04-01 19:15:58.299259+00:00,46,C:\Windows\System32\wininit.exe,,4648,,,,,,{00000000-0000-0000-0000-000000000000}
,Negotiate,,-,0x0000000000000260,MINWINPC$,UMFD-0,,2026-04-01 19:15:58.299271+00:00,47,C:\Windows\System32\wininit.exe,,4624,,,-,,,
,Negotiate,,-,0x00000000000002dc,MINWINPC$,NETWORK SERVICE,,2026-04-01 19:15:58.610851+00:00,48,C:\Windows\System32\services.exe,,4624,,,-,,,
,,,,,NETWORK SERVICE,,,2026-04-01 19:15:58.610855+00:00,49,,,4672,,,,,,
