EventID,RecordNumber,ErrorCode,Timestamp,User,EventName,ProcessId,Reason,Operation,MessageText,ProcessCreationTime,Source,CallerProcessName,AuthenticationPackageName,IpAddress,SubjectUserName,TargetUserName,CommandLine,ProcessName,ParentProcessName,WorkstationName,RowID,Suspicion_Score,summary
4624,698,,2026-04-01 16:31:56.948153+00:00,,,0x00000000000002e4,,,,,Security,,Negotiate,-,NORMALVM$,SYSTEM,,C:\Windows\System32\services.exe,,-,560,,
4672,699,,2026-04-01 16:31:56.948158+00:00,,,,,,,,Security,,,,SYSTEM,,,,,,561,,
4624,700,,2026-04-01 16:31:56.955284+00:00,,,0x00000000000002e4,,,,,Security,,Negotiate,-,NORMALVM$,SYSTEM,,C:\Windows\System32\services.exe,,-,562,,
4672,701,,2026-04-01 16:31:56.955290+00:00,,,,,,,,Security,,,,SYSTEM,,,,,,563,,
4624,702,,2026-04-01 16:31:56.962509+00:00,,,0x00000000000002e4,,,,,Security,,Negotiate,-,NORMALVM$,SYSTEM,,C:\Windows\System32\services.exe,,-,564,,
4672,703,,2026-04-01 16:31:56.962515+00:00,,,,,,,,Security,,,,SYSTEM,,,,,,565,,
4624,704,,2026-04-01 16:31:57.003202+00:00,,,0x00000000000002e4,,,,,Security,,Negotiate,-,NORMALVM$,SYSTEM,,C:\Windows\System32\services.exe,,-,566,,
4672,705,,2026-04-01 16:31:57.003208+00:00,,,,,,,,Security,,,,SYSTEM,,,,,,567,,
4624,706,,2026-04-01 16:31:57.225220+00:00,,,0x00000000000002e4,,,,,Security,,Negotiate,-,NORMALVM$,SYSTEM,,C:\Windows\System32\services.exe,,-,568,,
4672,707,,2026-04-01 16:31:57.225225+00:00,,,,,,,,Security,,,,SYSTEM,,,,,,569,,
4624,708,,2026-04-01 16:31:57.358488+00:00,,,0x00000000000002e4,,,,,Security,,Negotiate,-,NORMALVM$,SYSTEM,,C:\Windows\System32\services.exe,,-,570,0.0,Normal system activity; repeated EventID 4624 with SYSTEM login from NORMALVM$.
4672,709,,2026-04-01 16:31:57.358492+00:00,,,,,,,,Security,,,,SYSTEM,,,,,,571,0.0,"Normal system activity; repeated EventID 4672, indicating special privileges assigned to SYSTEM."
4672,711,,2026-04-01 16:31:57.358578+00:00,,,,,,,,Security,,,,SYSTEM,,,,,,572,0.0,"Normal system activity; repeated EventID 4672, indicating special privileges assigned to SYSTEM."
4624,710,,2026-04-01 16:31:57.358578+00:00,,,0x00000000000002e4,,,,,Security,,Negotiate,-,NORMALVM$,SYSTEM,,C:\Windows\System32\services.exe,,-,573,0.0,Normal system activity; repeated EventID 4624 with SYSTEM login from NORMALVM$.
4799,712,,2026-04-01 16:31:57.409208+00:00,,,,,,,,Security,C:\Windows\System32\svchost.exe,,,NORMALVM$,Administrators,,,,,574,0.0,"Normal system activity; EventID 4799, svchost.exe interacting with Administrators group."
5615,84,,2026-04-01 16:31:57.459808+00:00,,,,,,,,Appiclation,,,,,,,,,,575,0.0,Normal system activity; EventID 5615 from Application source with no specific details.
6000,83,,2026-04-01 16:31:58.153456+00:00,,,,,,,,Appiclation,,,,,,,,,,576,0.0,Normal system activity; EventID 6000 from Application source with no specific details.
7026,411,,2026-04-01 16:31:58.666424+00:00,,,,,,,,System,,,,,,,,,,577,0.0,Normal system activity; EventID 7026 from System source with no specific details.
18,412,,2026-04-01 16:31:58.668571+00:00,,,,,,,,System,,,,,,,,,,578,0.0,Normal system activity; EventID 18 from System source with no specific details.
4624,713,,2026-04-01 16:31:58.966042+00:00,,,0x00000000000002e4,,,,,Security,,Negotiate,-,NORMALVM$,SYSTEM,,C:\Windows\System32\services.exe,,-,579,0.0,Normal system activity; repeated EventID 4624 with SYSTEM login from NORMALVM$.
4672,714,,2026-04-01 16:31:58.966047+00:00,,,,,,,,Security,,,,SYSTEM,,,,,,580,0.0,"Normal system activity; repeated EventID 4672, indicating special privileges assigned to SYSTEM."
5058,715,,2026-04-01 16:32:00.035280+00:00,,,,,%%2458,,,Security,,,,defaultuser0,,,,,,581,3.0,"Low risk; EventID 5058, operation code %%2458, involving defaultuser0, needs review."
5061,716,,2026-04-01 16:32:00.040119+00:00,,,,,%%2480,,,Security,,,,defaultuser0,,,,,,582,3.0,"Low risk; EventID 5061, operation code %%2480, involving defaultuser0, needs review."
5059,717,,2026-04-01 16:32:00.040899+00:00,,,,,%%2464,,,Security,,,,defaultuser0,,,,,,583,3.0,"Low risk; EventID 5059, operation code %%2464, involving defaultuser0, needs review."
5058,718,,2026-04-01 16:32:00.612581+00:00,,,,,%%2458,,,Security,,,,LOCAL SERVICE,,,,,,584,3.0,"Low risk; EventID 5058, operation code %%2458, involving LOCAL SERVICE, needs review."
5061,719,,2026-04-01 16:32:00.616514+00:00,,,,,%%2480,,,Security,,,,LOCAL SERVICE,,,,,,585,3.0,"Low risk; EventID 5061, operation code %%2480, involving LOCAL SERVICE, needs review."
5059,720,,2026-04-01 16:32:00.617168+00:00,,,,,%%2464,,,Security,,,,LOCAL SERVICE,,,,,,586,3.0,"Low risk; EventID 5059, operation code %%2464, involving LOCAL SERVICE, needs review."
4624,721,,2026-04-01 16:32:00.799133+00:00,,,0x00000000000002e4,,,,,Security,,Negotiate,-,NORMALVM$,SYSTEM,,C:\Windows\System32\services.exe,,-,587,0.0,Normal system activity; repeated EventID 4624 with SYSTEM login from NORMALVM$.
4672,722,,2026-04-01 16:32:00.799141+00:00,,,,,,,,Security,,,,SYSTEM,,,,,,588,0.0,"Normal system activity; repeated EventID 4672, indicating special privileges assigned to SYSTEM."
4624,723,,2026-04-01 16:32:01.154579+00:00,,,0x00000000000002e4,,,,,Security,,Negotiate,-,NORMALVM$,SYSTEM,,C:\Windows\System32\services.exe,,-,589,0.0,Normal system activity; repeated EventID 4624 with SYSTEM login from NORMALVM$.
4672,724,,2026-04-01 16:32:01.154583+00:00,,,,,,,,Security,,,,SYSTEM,,,,,,590,0.0,"Normal system activity; repeated EventID 4672, indicating special privileges assigned to SYSTEM."
4624,725,,2026-04-01 16:32:02.447636+00:00,,,0x00000000000002e4,,,,,Security,,Negotiate,-,NORMALVM$,SYSTEM,,C:\Windows\System32\services.exe,,-,591,0.0,Normal system activity; repeated EventID 4624 with SYSTEM login from NORMALVM$.
4672,726,,2026-04-01 16:32:02.447641+00:00,,,,,,,,Security,,,,SYSTEM,,,,,,592,0.0,"Normal system activity; repeated EventID 4672, indicating special privileges assigned to SYSTEM."
5024,727,,2026-04-01 16:32:02.702208+00:00,,,,,,,,Security,,,,,,,,,,593,0.0,Normal system activity; EventID 5024 from Security source with no specific details.
4624,728,,2026-04-01 16:32:03.849451+00:00,,,0x00000000000002e4,,,,,Security,,Negotiate,-,NORMALVM$,SYSTEM,,C:\Windows\System32\services.exe,,-,594,0.0,Normal system activity; repeated EventID 4624 with SYSTEM login from NORMALVM$.
4672,729,,2026-04-01 16:32:03.849455+00:00,,,,,,,,Security,,,,SYSTEM,,,,,,595,0.0,"Normal system activity; repeated EventID 4672, indicating special privileges assigned to SYSTEM."
0,85,,2026-04-01 16:32:04.768066+00:00,,,,,,,,Appiclation,,,,,,,,,,596,0.0,Normal system activity; EventID 0 from Application source with no specific details.
4624,730,,2026-04-01 16:32:05.925800+00:00,,,0x00000000000002e4,,,,,Security,,Negotiate,-,NORMALVM$,SYSTEM,,C:\Windows\System32\services.exe,,-,597,0.0,Normal system activity; repeated EventID 4624 with SYSTEM login from NORMALVM$.
