EventID,RecordNumber,ErrorCode,Timestamp,User,EventName,ProcessId,Reason,Operation,MessageText,ProcessCreationTime,Source,CallerProcessName,AuthenticationPackageName,IpAddress,SubjectUserName,TargetUserName,CommandLine,ProcessName,ParentProcessName,WorkstationName,RowID,Suspicion_Score,Suspicious,summary
16,95,,2026-04-01 19:16:42.534527+00:00,,,,,,,,System,,,,,,,,,,6860,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,96,,2026-04-01 19:16:42.819132+00:00,,,,,,,,System,,,,,,,,,,6861,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,97,,2026-04-01 19:16:43.219250+00:00,,,,,,,,System,,,,,,,,,,6862,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,98,,2026-04-01 19:16:43.413593+00:00,,,,,,,,System,,,,,,,,,,6863,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,99,,2026-04-01 19:16:43.601353+00:00,,,,,,,,System,,,,,,,,,,6864,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,100,,2026-04-01 19:16:43.766432+00:00,,,,,,,,System,,,,,,,,,,6865,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,101,,2026-04-01 19:16:43.974642+00:00,,,,,,,,System,,,,,,,,,,6866,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,102,,2026-04-01 19:16:44.184744+00:00,,,,,,,,System,,,,,,,,,,6867,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,103,,2026-04-01 19:16:44.456800+00:00,,,,,,,,System,,,,,,,,,,6868,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,104,,2026-04-01 19:16:44.660263+00:00,,,,,,,,System,,,,,,,,,,6869,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,105,,2026-04-01 19:16:44.900818+00:00,,,,,,,,System,,,,,,,,,,6870,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,106,,2026-04-01 19:16:45.106087+00:00,,,,,,,,System,,,,,,,,,,6871,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,107,,2026-04-01 19:16:45.303333+00:00,,,,,,,,System,,,,,,,,,,6872,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,108,,2026-04-01 19:16:45.516481+00:00,,,,,,,,System,,,,,,,,,,6873,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,109,,2026-04-01 19:16:45.746391+00:00,,,,,,,,System,,,,,,,,,,6874,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,110,,2026-04-01 19:16:45.947151+00:00,,,,,,,,System,,,,,,,,,,6875,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,111,,2026-04-01 19:16:46.200411+00:00,,,,,,,,System,,,,,,,,,,6876,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,112,,2026-04-01 19:16:46.489244+00:00,,,,,,,,System,,,,,,,,,,6877,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,113,,2026-04-01 19:16:46.710522+00:00,,,,,,,,System,,,,,,,,,,6878,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,114,,2026-04-01 19:16:47.069014+00:00,,,,,,,,System,,,,,,,,,,6879,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
4624,159,,2026-04-01 19:16:47.228256+00:00,,,0x00000000000002dc,,,,,Security,,Negotiate,-,MINWINPC$,SYSTEM,,C:\Windows\System32\services.exe,,-,6880,3,Yes,"EventID 4624 indicates a successful logon, which needs review due to potential unauthorized access."
4672,160,,2026-04-01 19:16:47.228264+00:00,,,,,,,,Security,,,,SYSTEM,,,,,,6881,3,Yes,"EventID 4672 indicates special privileges assigned to new logon, which needs review."
16,115,,2026-04-01 19:16:47.469587+00:00,,,,,,,,System,,,,,,,,,,6882,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,116,,2026-04-01 19:16:47.788637+00:00,,,,,,,,System,,,,,,,,,,6883,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,117,,2026-04-01 19:16:48.017834+00:00,,,,,,,,System,,,,,,,,,,6884,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,118,,2026-04-01 19:16:48.321638+00:00,,,,,,,,System,,,,,,,,,,6885,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,119,,2026-04-01 19:16:48.536999+00:00,,,,,,,,System,,,,,,,,,,6886,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,120,,2026-04-01 19:16:48.746675+00:00,,,,,,,,System,,,,,,,,,,6887,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,121,,2026-04-01 19:16:48.988483+00:00,,,,,,,,System,,,,,,,,,,6888,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,122,,2026-04-01 19:16:49.728710+00:00,,,,,,,,System,,,,,,,,,,6889,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,123,,2026-04-01 19:16:50.246149+00:00,,,,,,,,System,,,,,,,,,,6890,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,124,,2026-04-01 19:16:50.637524+00:00,,,,,,,,System,,,,,,,,,,6891,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,125,,2026-04-01 19:16:50.963001+00:00,,,,,,,,System,,,,,,,,,,6892,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,126,,2026-04-01 19:16:51.292759+00:00,,,,,,,,System,,,,,,,,,,6893,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,127,,2026-04-01 19:16:51.540026+00:00,,,,,,,,System,,,,,,,,,,6894,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,128,,2026-04-01 19:16:51.956379+00:00,,,,,,,,System,,,,,,,,,,6895,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,129,,2026-04-01 19:16:52.201572+00:00,,,,,,,,System,,,,,,,,,,6896,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,130,,2026-04-01 19:16:52.392912+00:00,,,,,,,,System,,,,,,,,,,6897,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
4112,5,,2026-04-01 19:16:58.374254+00:00,,,,,,,,Appiclation,,,,,,,,,,6898,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,131,,2026-04-01 19:16:58.891340+00:00,,,,,,,,System,,,,,,,,,,6899,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,132,,2026-04-01 19:16:59.584469+00:00,,,,,,,,System,,,,,,,,,,6900,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,133,,2026-04-01 19:17:00.391909+00:00,,,,,,,,System,,,,,,,,,,6901,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,134,,2026-04-01 19:17:01.682381+00:00,,,,,,,,System,,,,,,,,,,6902,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,135,,2026-04-01 19:17:03.480728+00:00,,,,,,,,System,,,,,,,,,,6903,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,136,,2026-04-01 19:17:03.858168+00:00,,,,,,,,System,,,,,,,,,,6904,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,137,,2026-04-01 19:17:04.594267+00:00,,,,,,,,System,,,,,,,,,,6905,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,138,,2026-04-01 19:17:05.067051+00:00,,,,,,,,System,,,,,,,,,,6906,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,139,,2026-04-01 19:17:05.771778+00:00,,,,,,,,System,,,,,,,,,,6907,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,140,,2026-04-01 19:17:06.445200+00:00,,,,,,,,System,,,,,,,,,,6908,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,141,,2026-04-01 19:17:07.240042+00:00,,,,,,,,System,,,,,,,,,,6909,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,142,,2026-04-01 19:17:09.211849+00:00,,,,,,,,System,,,,,,,,,,6910,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,143,,2026-04-01 19:17:09.817568+00:00,,,,,,,,System,,,,,,,,,,6911,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,144,,2026-04-01 19:17:11.679472+00:00,,,,,,,,System,,,,,,,,,,6912,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,145,,2026-04-01 19:17:13.456617+00:00,,,,,,,,System,,,,,,,,,,6913,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,146,,2026-04-01 19:17:14.064745+00:00,,,,,,,,System,,,,,,,,,,6914,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
16,147,,2026-04-01 19:17:15.137711+00:00,,,,,,,,System,,,,,,,,,,6915,0,No,"Log lacks details, showing no actionable information or indicators of compromise."
4799,161,,2026-04-01 19:17:15.214504+00:00,,,,,,,,Security,C:\Program Files (x86)\Microsoft\Edge\Application\145.0.3800.97\Installer\setup.exe,,,MINWINPC$,Users,,,,,6916,3,Yes,"EventID 4799 indicates a session was reconnected, which needs review for potential unauthorized access."
